Id,Title,Like,URL,Author,Reasons,Year,Venues
95,world models,1,https://arxiv.org/abs/1803.10122,David Ha|Jürgen Schmidhuber,A different take on the deep model-based RL based on use of RNNs to model the world so that the agent can train by hallucination.,2018,Neural Information Processing Systems Conference (NeurIPS)
96,locally weighted learning and locally weighted learning for control,6,https://am.is.tuebingen.mpg.de/publications/atkeson_air_1997,Atkeson|C. G.|Moore|A. W.|and Schaal|S.,"These companion papers champion a statistical view of machine learning|and local lazy methods as a way to learn online from streaming data. The first paper is a survey that dives into the details of design decisions and training data implications. The companion paper relates locally weighted learning specifically to robot control|discussing the application of lazy learning to a variety of control formulations (forward and inverse models|policies and value functions) and for each detailing the authors' own hardware implementations. Each was a state-of-the-art control implementation in its own right (e.g. robotic billiards|devil stick)|at a time when machine learning rarely outperformed human hand design of controllers.

* Note the ""Title"" entry above contains two titles... ""AND"" is part of neither.~It provides the basics of locally weighted learning|which has been exploited in robotics to a great extent|and it is a sort of a backbone to many methods.~The combination of machine learning and control is quintessential for learning on robotic systems because learning on robots happens in the sensor-actuator-control-loop. This paper is one of the first to discuss the connection of learning and control and already points out many key research challenges|which have inspired many follow-up works. In my opinion|this paper represents important pioneering work|and it has had significant impact in creating and shaping this whole research area. ~This paper is an overview of (rather) early results in model learning for control. Beyond the particular results presented in the paper|which are already impressive and could perhaps be used to calibrate claims in current research in robot learning|the paper provides a thoughtful discussion and important insights on issues related to model learning for controlling mechanical systems from data generation issues to inverse/forward models|representations|etc. Certainly a must read for a compelling vision on robot learning.~The work has been the bacis for many works on robot motor learning.~Provides an in depth presentation of a new approach to regression that proved seminal and particularly useful for learning models in robotics",1997,Artificial Intelligence Review
97,reinforcement learning in robotics: a survey,1,https://www.ias.informatik.tu-darmstadt.de/uploads/Publications/Kober_IJRR_2013.pdf,Jens Kober|J. Andrew Bagnell|Jan Peters,"This survey was published at a time when there was still a significant gap between reinforcement learning and its practical employment on real robot hardware. For the majority of real world domains|rollouts are impractical to perform on actual hardware---because|for example|the state/action spaces are continuous|exploration can be dangerous|and rollouts take much longer when physically executed---plus often simulators are too dissimilar to the real world and hardware for what is learned to transfer well. To get reinforcement learning to be effective on a real hardware system|therefore|the devil is in the details|and this article addresses just that. Today the gap is narrowing|in part because of advances in computation|but also because of implementation ""tricks‚"" becoming codified. This article is a bit of a one-stop-shop for pulling together a lot of these tricks|and putting some theoretical rigor and thought behind why and when they work.",2014,International Journal of Robotics Research
98,an evolutionary approach to gait learning for four-legged robots,1,http://www.cs.cmu.edu/~mmv/papers/04iros-sonia.pdf,Sonia Chernova|Manuela Veloso,"This paper presents a clear and concrete mapping of genetic algorithms to a compelling hardware domain: Sony AIBO walking gait and the RoboCup soccer competition. The AIBO was an example of a platform where parameter tuning by hand is particularly tedious (54 parameters)|plus the platform was safe to have ""practice‚"" on its own overnight (i.e. without human supervision|a rarity for mobile robots)---offering an opportunity for fully autonomous and on-hardware optimization-based learning|where it was feasible for each generation to be evaluated (according to the fitness function) on the actual robot platform without human supervision or intervention. The learned walk that resulted outperformed all hand-tuned and learned walks that participated in (including that which won) the RoboCup 2003 competition.

** This recommendation is getting a bit into the weeds of specific algorithms---not quite sure if the list is planning to go that deep. It's a work I would present in a class|as a great example of a CS algorithm being translated for use on real robot hardware. Again|not quite sure if that sort of categorization fits the bill.",2004,International Conference on Intelligent Robots and Systems
99,modeling and learning walking gaits of biped robots,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.68.7142&rep=rep1&type=pdf,Matthias Hebbel|Ralf Kosse and Walter Nistico,"This paper describes the open loop modelling of a robot gait which mimics the human walking style. The authors develop a parameterized model for the leg and arm motions. They then compare various machine learning methods for finding the best parameters|i.e.|the ones that provide the best walk. The paper is very interesting as:
- it is one of the pioneer works on robot gait learning
- it rises many issues related to practical application of machine learning methods on real hardware
- it gives many insights (again|mainly practical) on how to develop a robot learning framework.
While the scientific contribution may be limited|the paper has a great importance for its presentation of practical issues. For this reason|I recommend its reading to young students interested in studying this topic for the first time.",2006,IEEE-RAS International Conference of Humanoid Robots
100,adjustable bipedal gait generation using genetic algorithm optimized fourier series formulation,1,https://ieeexplore.ieee.org/document/4059114,L. Yang|C. M. Chew|A. N. Poo|T. Zielinska,"This paper presents a method for optimally generating stable bipedal walking gaits|based on a Truncated Fourier Series Formulation with coefficients tuned by Genetic Algorithms. It also provides a way to adjust the stride-frequency|
step-length or walking pattern in real-time. The proposed approach can be adapted to the robot kinematic structure and to different terrains. 
As for the my previous suggestion|albeit simple the paper is useful to bridge the gap between robot kinematics (model-based design) and machine learning (model-free design). This is why I recommend it. ",2006,IEEE/RSJ International Conference on Intelligent Robots and Systems
101,cognitive developmental robotics: a survey,1,https://www.ece.uvic.ca/~bctill/papers/ememcog/Asada_etal_2009.pdf,Minoru Asada|Koh Hosoda|Yasuo Kuniyoshi|Hiroshi Ishiguro|Toshio Inui|Yuichiro Yoshikawa|Masaki Ogino|and Chisato Yoshida,I really like the overview of cognitive robotics|where learning can be applied and what the required parts are essential to learning and cognitive (artificial) systems.,2009,IEEE Transactions on Autonomous Mental Development
102,on the adaptive control of robot manipulator,1,https://journals.sagepub.com/doi/10.1177/027836498700600303,J.J. Slotine and W. Li	,I selected this paper for several reasons: 1) to remind us that learning system dynamics at the same time as performing control is an old control topic|known as adaptive control|and that fundamental results in adaptive control and especially fundamental limitations will certainly carry over in other learning problems (parametric or not) when learning and control time-scales are mixed|2) it is an incredibly elegant paper and its results have been further used on real robotic systems to provide fast adaptation to changing dynamics (e.g. plane catching experiments done at MIT using adaptive control in the early 90s) and they have also been extended to use non-parametric models (e.g. neural networks and Gaussian radial basis function) in subsequent papers.,1987,International Journal of Robotics Research
103,robot trajectory optimization using approximate inference,1,https://www.icml.cc/Conferences/2009/papers/271.pdf,Marc Toussaint,In this study a direct link between optimal control and the general framework of probabilistic inference is draw. The inference framework formulation allows to exchange the inference algorithms or solver and enables the prioritization of multiple concurrent objectives in a principled way. ,2009,International Conference on Machine Learning
104,reducing the time complexity of the derandomized evolution strategy with covariance matrix adaptation (cma-es),1,https://ieeexplore.ieee.org/document/6790790,Hansen|Nikolaus|Sibylle D. MYller|and Petros Koumoutsakos.,This work proposes one of the most efficient black box optimizers based on 2nd order stochastic optimization. The strengths of this approach are that it only has one hyper parameter|the initial learning rate|and that it is simple which has resulted in numerous open access implementations in various  programming languages.,2003,Evolutionary Computation
105,forward models: supervised learning with a distal teacher,1,https://onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1603_1,Michael I. Jordan|David E. Rumelhart,This landmark provides a very good exposition on learning internal models of the environment for selecting actions. The idea of a distal teacher|in-between learning from demonstration (i.e. traditional supervised way of learning policies) and reinforcement learning (that relies on environment rewards)|is to provide supervision for learning policies by matching the predictions of a forward model with observation of the expert's demonstration. The paper also summarizes the advantages and challenges of learning both forward and inverse models.  Another fantastic and related paper is: MOSAIC Model for Sensorimotor Learning and Control.~explains that inverse model learning may be flawed|and one way how to circumvent this flaw,1992,Cognitive Science
106,optimality principles in sensorimotor control,1,https://homes.cs.washington.edu/~todorov/papers/TodorovNatNeurosci04.pdf,Emanuel Todorov,"From the paper's abstract: ""The sensorimotor system is a product of evolution|development|learning and adaptation-which work on different time scales to improve behavioral performance. Consequently|many theories of motor function are based on 'optimal performance': they quantify task goals as cost functions|and apply the sophisticated tools of optimal control theory to obtain detailed behavioral predictions. The resulting models|although not without limitations|have explained more empirical phenomena than any other class.‚"" This paper provides a solid theoretical perspective on how to think about control principally in terms of objectives. It makes a very good case for sensory feedback|utilizing which is a key aspect of robot learning works. ",2004,Nature Neuroscience
107,inverted autonomous helicopter flight via reinforcement learning,1,https://people.eecs.berkeley.edu/~jordan/papers/ng-etal03.pdf,Andrew Y. Ng|H. Jin Kim|Michael I. Jordan|and Shankar Sastry,totally transformativer,2003,International Symposium on Experimental Robotics
108,learning by watching: extracting reusable task knowledge from visual observation of human performance,1,https://www.researchgate.net/publication/2753425_Learning_by_Watching_Extracting_Reusable_Task_Knowledge_from_Visual_Observation_of_Human_Performance,Yasuo Kuniyoshi|Masayuki Inaba|Hirochika Inoue,One of the most significant works on Robot Imitation Learning. This set the stages for all works followed.,1996,IEEE Transactions on Robotics and Automation
109,representations for robot knowledge in the knowrob framework,1,https://www.sciencedirect.com/science/article/abs/pii/S0004370215000843,M. Tenorth|M. Beetz,A key paper showing the importances of ontology|specifically designed for robots.,2017,Artificial Intelligence
110,what are the computations of the cerebellum|the basal ganglia and the cerebral cortex?,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.17.7989&rep=rep1&type=pdf,Kenji Doya,A paper that document the functional models of types of learning algorithms in the brain: supervised learning|reinforcement learning and unsupervised learning.,1999,Neural Networks
111,learning to control a low-cost manipulator using data-efficient reinforcement learning,1,https://rse-lab.cs.washington.edu/papers/robot-rl-rss-11.pdf,Marc Peter Deisenroth|Carl Edward Rasmussen|Dieter Fox,While this was not the first nor the last publication from Deisenroth and colleagues on PILCO (probabilistic inference for learning control)|this is the paper that I remember my colleagues talking about that led me to learn about the approach. This paper was prescient bringing our attention to|and attempting to address|a number of problems in robot learning that still remain important today: data-efficient learning and transfer between related tasks. This paper has a had lasting impact on the field forming the basis of other impressive works in areas of robotics ranging from manipulation to learning underwater swimming gaits.,2011,Robotics: Science and Systems VII
112,automatic design and manufacture of robotic lifeforms,1,http://www.mit.edu/~hlipson/papers/design.pdf,Hod Lipson|Jordan B. Pollack,"This paper describes the first ""complete"" autonomous robotics design experiment|from the design to the 3D printing. Technically|the paper leverages all the work from the 1990's in evolutionary robotics|combined with 3D printing (recent at that time)|and demonstrates that a machine can design a machine. This paper inspired numerous researchers.",2000,Nature
113,gaussian processes for data-efficient learning in robotics and control,1,https://arxiv.org/abs/1502.02860,Marc Peter Deisenroth|Dieter Fox|Carl Edward Rasmussen,"This paper shows the power of model-based reinforcement learning for robot control. It nicely illustrates the power of Gaussian Processes to capture the uncertainty and demonstrates how to leverage it in a highly data-efficient reinforcement learning algorithm. Overall|PILCO (the algorithm described in this paper) might be the most data-efficient algorithm I know. 

Please note that conference versions of this paper were published at ICML (2011 - PILCO: A model-based and data-efficient approach to policy search) and RSS (2011 - Learning to Control a Low-Cost Manipulator using Data-Efficient Reinforcement Learning).",2017,IEEE Transactions on Pattern Analysis and Machine Intelligence
114,abandoning objectives: evolution through the search for novelty alone,1,https://www.cs.swarthmore.edu/~meeden/DevelopmentalRobotics/lehman_ecj11.pdf,Joel Lehman and Kenneth O. Stanley,This works nicely demonstrates that optimizing a reward function is not necessarily the best way to find a solution in a complex search space (especially when the search space is deceptive). It proposes to replace the reward function by a behavioral novelty score|which echoes many of the work in developmental robotics. The experiments described in this paper led to an inspirational book (Why greatness cannot be planned: The myth of the objective|Springer|2015).,2011,Evolutionary Computation
115,resilient machines through continuous self-modeling,1,https://science.sciencemag.org/content/314/5802/1118.abstract,Josh Bongard|Victor Zykov|and Hod Lipson,This article shows the potential of active model learning for adaptation|and applies it to damage recovery for a legged robot. While the technique was not new for robotics (active model learning)|the paper pushed by identifying more than parameters (e.g.|the presence of a leg). The application to damage recovery inspired a lot of my own work.,2006,Science
116,an introduction to deep reinforcement learning.,1,https://arxiv.org/abs/1811.12560,Vincent Francois-Lavet|Peter Henderson|Riashat Islam|Marc G. Bellemare|Joelle Pineau,There have been astounding achievements in Deep Reinforcement Learning in recent years with complex decision-making problems suddenly becoming solvable. This book is written by experts in the field and on top of that|it is free!,2018,Foundations and Trends in Machine Learning
117,particle filter networks with application to visual localization,1,https://arxiv.org/abs/1805.08975,Peter Karkus|David Hsu|Wee Sun Lee,makes clear how the algorithmic ideas from before and end-to-end learning can be combined,2018,Proceedings of The 2nd Conference on Robot Learning
118,robotic grasping of novel objects,1,https://papers.nips.cc/paper/3010-robotic-grasping-of-novel-objects.pdf,Ashutosh Saxena|Justin Driemeyer|Justin Kearns|Andrew Y. Ng,This has been seminal work which showed that object grasping can be learned in a supervised manner from labeled training images. It spawned a string of work in this area culminating in current approaches that use entire robot farms to collect training data. ,2007,Advances in Neural Information Processing Systems 
119,adaptive representation of dynamics during learning a motor task,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.211.8137&rep=rep1&type=pdf,Reza Shadmehr and Ferdinando A. Mussa-lvaldi,The reason why I picked these articles and books  is because I think that robot learning cannot be separated from the cognitive architecture supporting the learning processes. The first two reference highlight the importance and role of embodiment (in humans and robots) and the fact that in physical systems part of the learning process is embedded in the morphology and material.,1994,The Journal of Neuroscience
120,how the body shapes the way we think: a new view of intelligence,1,https://pdfs.semanticscholar.org/2910/099b7a7c555af9f14bfb2bc20e9475d0588f.pdf,Rolf Pfeifer and Josh Bongard,The reason why I picked these articles and books  is because I think that robot learning cannot be separated from the cognitive architecture supporting the learning processes. The first two reference highlight the importance and role of embodiment (in humans and robots) and the fact that in physical systems part of the learning process is embedded in the morphology and material. ,2006,How the Body Shapes the Way We Think: A New View of Intelligence
121,a roadmap for cognitive development in robots,1,https://www.springer.com/gp/book/9783642169038,David Vernon|Claes von Hofsten|and Luciano Fadiga,David Vernon's two references highlight the importance of the architecture and the role of its components in learning how to execute and interpret actions. The first|co-authored with a Neuroscientist (Luciano Fadiga) and a Developmental Psychology (Claes von Hofsten) highlights how the development of sensory|motor and cognitive skills in childhood can be analyzed as a process supporting the acquisition of complex behaviors  in humans and artificial systems as well as the parallel between action execution and action understanding in the acquisition of cognitive skills (the mirror neuron approach).,2011,Book
122,artificial cognitive systems: a primer,1,http://www.vernon.eu/publications/14_Vernon_Artificial_Cognitive_Systems_Preamble.pdf,David Vernon,David Vernon's two references highlight the importance of the architecture and the role of its components in learning how to execute and interpret actions. The second is a must-read book for who is interested in the field of artificial cognitive systems.,2014,Book
123,muscleless motor synergies and actions without movements: from motor neuroscience to cognitive robotics,1,https://www.ncbi.nlm.nih.gov/pubmed/29903532,Mohan V.|Bhat A.|Morasso P.,The last is a recent article reporting the state of art about the relationship between how to execute and how to imagine (an aspect which has important consequences in robot learning).,2019,Physics of life reviews
124,a new approach to linear filtering and prediction problems,1,http://www.unitedthc.com/DSP/Kalman1960.pdf,R. E. Kalman,"The paper that introduced the Kalman Filter: probably the most used inference algorithm in science and engineering. The paper *also* introduced the linear quadratic regulator as a bonus: probably the most used optimal control algorithm. It is clearly written and easy to understand.~Important to point out that this is a Bayesian (probabilistic) approach|long before Bayesian approaches became popular in ML.
",1960,Transactions of the ASME–Journal of Basic Engineering
125,agnostic system identification for model-based reinforcement learning,1,https://arxiv.org/abs/1203.1007,Stephane Ross|J. Andrew Bagnell,Formalizes the practice of performing system id|followed by attempting the task with an optimal controller|and repeating until the system works. Powerful technique that works and provides performance guarantees even when the true system model cannot be realized.,2012,International Conference on Machine Learning
126,square root sam: simultaneous localization and mapping via square root information smoothing,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.474.756&rep=rep1&type=pdf,Frank Dellaert|Michael Kaess,This paper|as well as the follow up iSAM2 paper|focuses on treating localization and mapping problems as nonlinear least squares and then optimizing as efficiently as possible. This is a powerful technique that serves as the backbone for many SAM solvers|and|can be applied more generally to all sorts of inference problems in robotics. Techniques building on this work have been used in planning|manipulation|and control.,2006,Intl. J. of Robotics Research
127,using local trajectory optimizers to speed up global optimization in dynamic programming,1,http://www.cs.cmu.edu/~cga/papers/local.pdf,Christopher G. Atkeson,A forerunner to guided policy search: introduces the idea of using trajectory optimizers to speed up policy learning. ,1994,Neural Information Processing Systems
128,the coordination of arm movements: an experimentally confirmed mathematical model,1,https://pdfs.semanticscholar.org/8237/66d74febae73bdafa91c63f5c29f3c8c68e5.pdf,Tamar Flash|Neville Hogans,"This paper is part of a set of papers that outlines important points about synergy formation in neuroscience and robotics along a fil-rouge during the last 40 years: a) the coordination of multiple joints in goal directed movement|b) the characterization of ""biological motion‚""|c) the equilibrium point hypothesis|d) the role of force fields for motor coordination|e) the extension of the equilibrium point hypothesis from real (overt) movements to covert (real) movements|f) the characterization of synergy formation as the simulation of an internal body model. In particular|this paper explained the bell-shape of the speed profile in human arm reaching movements in terms of optimal control. The observation had been first made in Morasso P (1981) Spatial control of arm movements. Experimental Brain Research.",1985,Journal of Neuroscience
129,affordances in psychology|neuroscience and robotics: a survey,1,https://ieeexplore.ieee.org/document/7523298,Lorenzo Jamone|Emre Ugur|Angelo Cangelosi|Luciano Fadiga|Alexandre Bernardino|Justus Piater and Jose Santos-Victor,"Affordances is an important term for robot learning|but also one that tends to be overloaded and can lead to confusion. If an object allows an agent to perform an action|then the object is said to afford the action to that agent. Affordances can generally be learned autonomously and are thus a fundamental aspect of self-supervised learning for autonomous robots. The nuances of the term however are still widely discussed in robotics and other fields. As a result|one should be aware of the ambiguity and different perspectives regarding the term when talking about affordances. This survey paper discusses some of the nuanced interpretations of the term affordances. 
",2018,IEEE Transactions on Cognitive and Developmental Systems
130,assessing grasp stability based on learning and haptic data,1,https://www.it.lut.fi/mvpr/data/Bekiroglu-TRO2011.pdf,Yasemin Bekiroglu|Janne Laaksonen|Jimmy Alison Jurgensen|Ville Kyrki and Danica Kragic,"""Learning to grasp"" can actually imply a lot of different learning problems. We often think about grasp synthesis|i.e.|the problem of determining where to place the hand to achieve a stable grasp (I strongly recommend reading Data-Driven Grasp Synthesis- a Survey for more on this topic). This paper focuses on the important problem of using multiple sensor modalities to determine if an executed grasp attempt resulted in a stable grasp. As robot learning researchers|it is important to consider how problems can be approached from different directions and how different information sources can be incorporated and change the problem. One should also think about robustness and consider how learning factors into monitoring skill executions for errors.
",2011,IEEE Transactions on Robotics
131,grounding semantic categories in behavioral interactions: experiments with 100 objects,1,https://www.eecs.tufts.edu/~jsinapov/papers/Sinapov_RAS2014.pdf,Jivko Sinapov|Connor Schenck|Kerrick Staley|Vladimir Sukhoy|Alexander Stoytchev,"Interactive perception and multimodal sensing are fundamental aspects of robotics and robot learning. The ability to execute actions to interact with the environment provides robots with a rich source of information|especially when combined with haptic|vision|and audio feedback. Grounding the object representations in the robot's actions provides the robot with representations that are not only well suited for future manipulation tasks|but that the robot can estimate through autonomous experimentation. The paper also touches on actively selecting actions to quickly reduce uncertainty.
",2012,Robotics and Autonomous Systems
132,optimal control and estimation,1,https://www.amazon.com/Optimal-Control-Estimation-Dover-Mathematics/dp/0486682005,Robert Stengel,Robotics Learning Practitioners must be aware of and understand Optimal Control. :) ,1994,Book
133,estimation of inertial parameters of rigid body links of manipulators,1,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.989.7461&rep=rep1&type=pdf,Christopher G. Atkeson|Chae H. An|John M. Hollerbach,For an early example of model based learning. ,1986,International Journal of Robotics Research
134,policy gradient methods for reinforcement learning with function approximation,1,https://papers.nips.cc/paper/1713-policy-gradient-methods-for-reinforcement-learning-with-function-approximation.pdf,Richard S. Sutton|David McAllester|Satinder Singh|Yishay Mansour,Revived policy gradient methods for RL|and for trajectory-based RL in particular in follow up work,2000,Advances in Neural Information Processing Systems
135,using local models to control movement,1,https://pdfs.semanticscholar.org/1985/de1691024c1ca6bd416e0b2007be6aaa0bce.pdf,Christopher G. Atkeson,seminal work on using learned local linear models for robot learning,1990,Advances in Neural Information Processing Systems
136,automatic programming of behavior-based robots using reinforcement learning,1,https://www.aaai.org/Papers/AAAI/1991/AAAI91-120.pdf,Sridhar Mahadevan and Jonathan Connell,"This is a seminal paper that really broke open the application of RL to 
learning policies. It was the first that I am aware of|and certainly 
the earliest high-profile case. It blew a lot of minds when it came out.",1991,Artificial Intelligence
137,a robot controller using learning by imitation,1,https://www.researchgate.net/publication/2652979_A_Robot_Controller_Using_Learning_by_Imitation,Gillian Hayes|Yiannis Demiris,"This paper introduced learning from imitation. This has proved useful in 
and of its own (i.e.|as a means for non-expert users to program 
robots)|and also as the means for initializing robot controllers (most 
prominently by Schaal and later Peters) to a reasonable policy that is 
later refined by learning. Schaal's work on this was probably more 
influential but it was preceded|and possibly inspired by|Gillian Hayes.
",1995,Neural Information Processing Systems Conference (NeurIPS)
138,natural actor critic,1,https://homes.cs.washington.edu/~todorov/courses/amath579/reading/NaturalActorCritic.pdf,Jan Peters|Sethu Vijayakumar|and Stefan Schaal,This paper established policy-search approaches as the algorithms most naturally (!) suited for motor skill learning|in part by pairing them with DMPs. That combination was a major advance and accounts for almost all notable successful instances of robot motor skill learning until deep nets. All existing robot policy learning algorithms - including the latest|most fashionable deep approaches - are technically descended from this algorithm|and many researchers were inspired by its immense success.,2008,European Conference on Machine Learning
139,sequential composition of dynamically dexterous robot behaviors,1,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/67990/10.1177_02783649922066385.pdf,Robert R. Burridge|Alfred A. Rizzi|and Daniel E. Koditschek,Although not a recent work|this paper introduces the idea of solving complex robotic tasks by chaining together several local feedback controllers that are conditioned on state information. If safety guarantees are maintained for each of the local controllers|then this property can also hold for their composition. This is an important principle that can still be widely applied to many robotics tasks.,1999,The International Journal of Robotics Research
140,map learning with uninterpreted sensors and effectors,1,https://www.sciencedirect.com/science/article/pii/S0004370296000513,David Pierce|and Benjamin J. Kuipers,This was an important paper in developmental robotics|which showed by means of an extended worked example that complex state and action representations can be derived for a robot from raw|unstructured signals. This shows it is possible to build a hierarchy of representations|leading to agents that can build simple maps with behaviours such as wall-following controllers. Particularly in the modern context of deep learning|it is very instructional that this is all achieved in this paper by using simple techniques to exploit the structure and regularities in the inputs and outputs of the robot.,1997,Artificial Intelligence
141,experiments in synthetic psychology,1,https://www.amazon.com/Vehicles-Experiments-Psychology-Valentino-Braitenberg/dp/0262521121,Valentino Braitenberg,This book gave rise to the concept of Braitenberg Vehicles. It follows a sequence of simple thought experiments|starting with the idea that light sensors attached to motors can generate a machine that can simulate a desire for or aversion to light. These concepts are made progressively more complex|ranging up to machines that can display sophisticated behaviours. This is an interesting foundational take on emergent intelligence.,1986,MIT Press
142,learning agile and dynamic motor skills for legged robots,1,https://robotics.sciencemag.org/content/4/26/eaau5872,Jemin Hwangbo|Joonho Lee|Alexey Dosovitskiy|Dario Bellicoso|Vassilios Tsounis|Vladlen Koltun|and Marco Hutter,Very nice work that combines supervised learning for learning internal models (deep networks) of the series-elastic actuators dynamics with reinforcement learning (specifically|Trust Region Policy Optimization) for learning locomotion policies. They obtained excellent locomotion gaits and were able to learn complex standing-up sequences.,2019,Science Robotics
143,active learning for vision based grasping,1,https://link.springer.com/content/pdf/10.1007/BF00117446.pdf,Marcos Salganicoff|Lyle H. Ungar|Ruzena Bajcsy,This work as far as I can detect is the first introducing Active learning and Forgetting for the Perception-Action paradigm. It was the PhD thesis of Marcos Salganicoff in 1992. The paper (in fact several papers) cited here was published later. The new approach allowed the learner to control when and where in the input space the new examples should be gathered. It balances the cost of gathering the experiences (Exploration) with the cost of misclassification and the execution of the task (Exploitation ).,1996,"Machine Learning, 23, 251-278"
144,learning control in robotics,1,https://www.researchgate.net/publication/224144041_Learning_Control_in_Robotics,Stefan Schaal|Christopher G. Atkeson,"This review from Schaal and Atkeson does an excellent job of concisely covering the many approaches to learning control in robotics. It is useful  not only as an overview of this subtype of robot learning, but also as a   jumping off point for further research, as the works cited are extensive. This paper is also of note because it considers the problem of robot learning from a control perspective, rather than the more common computer science or statistical perspectives. The authors also discuss the practical aspects of learning control, such as the robustness of learned control policies to unexpected perturbation.",2010,IEEE Robotics & Automation Magazine
145,"a review of robot learning for manipulation: challenges, representations, and algorithms",1,https://arxiv.org/abs/1907.03146.pdf,Oliver Kroemer|Scott Niekum|George Konidaris,"This paper present an incredibly extensive recent survey on learning in robot manipulation (440 citations!!). Surveys are always use especially for new grad students. This one presents a single framework to formalise the robot manipulation problem.",2019,arXiv
146,"closing the sim-to-real loop: adapting simulation randomization with real world experience",1,https://arxiv.org/pdf/1810.05687.pdf,Yevgen Chebotar|Ankur Handa|Viktor Makoviychuk|Miles Macklin|Jan Issac|Nathan Ratliff|Dieter Fox,"TODO expert comment",2019,arXiv
